lr-Adam,step,training_loss,epoch,val_loss,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
,2659,-188.59437561035156,12,,,,,,,,,,,
0.001,2679,,,,,,,,,,,,,
,2679,-72.04617309570312,12,,,,,,,,,,,
0.001,2699,,,,,,,,,,,,,
,2699,-146.1608428955078,12,,,,,,,,,,,
,2703,,12,-0.09368792921304703,0.2389790564775467,,,,,,,,,
0.001,2719,,,,,,,,,,,,,
,2719,86.76138305664062,13,,,,,,,,,,,
0.001,2739,,,,,,,,,,,,,
,2739,-91.0312728881836,13,,,,,,,,,,,
0.001,2759,,,,,,,,,,,,,
,2759,-7.250879287719727,13,,,,,,,,,,,
0.001,2779,,,,,,,,,,,,,
,2779,-88.23846435546875,13,,,,,,,,,,,
0.001,2799,,,,,,,,,,,,,
,2799,-12.021661758422852,13,,,,,,,,,,,
,2807,,13,-0.09450366348028183,0.23889458179473877,,,,,,,,,
0.001,2819,,,,,,,,,,,,,
,2819,102.83248901367188,13,,,,,,,,,,,
0.001,2839,,,,,,,,,,,,,
,2839,-21.070491790771484,13,,,,,,,,,,,
0.001,2859,,,,,,,,,,,,,
,2859,-155.4434356689453,13,,,,,,,,,,,
0.001,2879,,,,,,,,,,,,,
,2879,-168.74288940429688,13,,,,,,,,,,,
0.001,2899,,,,,,,,,,,,,
,2899,-147.74513244628906,13,,,,,,,,,,,
,2911,,13,-0.0934414193034172,0.23892617225646973,,,,,,,,,
0.001,2919,,,,,,,,,,,,,
,2919,88.77265930175781,14,,,,,,,,,,,
0.001,2939,,,,,,,,,,,,,
,2939,-152.6768341064453,14,,,,,,,,,,,
0.001,2959,,,,,,,,,,,,,
,2959,-150.96084594726562,14,,,,,,,,,,,
0.001,2979,,,,,,,,,,,,,
,2979,-213.59747314453125,14,,,,,,,,,,,
0.001,2999,,,,,,,,,,,,,
,2999,-76.96580505371094,14,,,,,,,,,,,
,3015,,14,-0.09507236629724503,0.23885445296764374,,,,,,,,,
0.001,3019,,,,,,,,,,,,,
,3019,-2.1031742095947266,14,,,,,,,,,,,
0.001,3039,,,,,,,,,,,,,
,3039,-120.94015502929688,14,,,,,,,,,,,
0.001,3059,,,,,,,,,,,,,
,3059,-190.56155395507812,14,,,,,,,,,,,
0.001,3079,,,,,,,,,,,,,
,3079,-3.198406219482422,14,,,,,,,,,,,
0.001,3099,,,,,,,,,,,,,
,3099,-21.817481994628906,14,,,,,,,,,,,
0.001,3119,,,,,,,,,,,,,
,3119,-47.69541549682617,14,,,,,,,,,,,
,3119,,14,-0.09470593929290771,0.23884695768356323,,,,,,,,,
0.001,3139,,,,,,,,,,,,,
,3139,-61.18394470214844,15,,,,,,,,,,,
0.001,3159,,,,,,,,,,,,,
,3159,-136.96165466308594,15,,,,,,,,,,,
0.001,3179,,,,,,,,,,,,,
,3179,41.50685501098633,15,,,,,,,,,,,
0.001,3199,,,,,,,,,,,,,
,3199,121.7725830078125,15,,,,,,,,,,,
0.001,3219,,,,,,,,,,,,,
,3219,-153.83189392089844,15,,,,,,,,,,,
,3223,,15,-0.09600302577018738,0.23861928284168243,,,,,,,,,
0.001,3239,,,,,,,,,,,,,
,3239,-51.73685073852539,15,,,,,,,,,,,
0.001,3259,,,,,,,,,,,,,
,3259,-249.66534423828125,15,,,,,,,,,,,
0.001,3279,,,,,,,,,,,,,
,3279,69.88714599609375,15,,,,,,,,,,,
0.001,3299,,,,,,,,,,,,,
,3299,-34.176795959472656,15,,,,,,,,,,,
0.001,3319,,,,,,,,,,,,,
,3319,-186.379150390625,15,,,,,,,,,,,
,3327,,15,-0.0954475924372673,0.23870624601840973,,,,,,,,,
0.001,3339,,,,,,,,,,,,,
,3339,-87.39323425292969,16,,,,,,,,,,,
0.001,3359,,,,,,,,,,,,,
,3359,-178.89337158203125,16,,,,,,,,,,,
0.001,3379,,,,,,,,,,,,,
,3379,17.546566009521484,16,,,,,,,,,,,
0.001,3399,,,,,,,,,,,,,
,3399,-6.566332817077637,16,,,,,,,,,,,
0.001,3419,,,,,,,,,,,,,
,3419,-166.58096313476562,16,,,,,,,,,,,
,3431,,16,-0.09615989029407501,0.23870505392551422,,,,,,,,,
0.001,3439,,,,,,,,,,,,,
,3439,-54.74456787109375,16,,,,,,,,,,,
0.001,3459,,,,,,,,,,,,,
,3459,22.5533390045166,16,,,,,,,,,,,
0.001,3479,,,,,,,,,,,,,
,3479,-180.4841766357422,16,,,,,,,,,,,
0.001,3499,,,,,,,,,,,,,
,3499,-205.71905517578125,16,,,,,,,,,,,
0.001,3519,,,,,,,,,,,,,
,3519,-120.66642761230469,16,,,,,,,,,,,
,3535,,16,-0.09512147307395935,0.23866169154644012,,,,,,,,,
0.001,3539,,,,,,,,,,,,,
,3539,-124.13262176513672,17,,,,,,,,,,,
0.001,3559,,,,,,,,,,,,,
,3559,-177.59552001953125,17,,,,,,,,,,,
0.001,3579,,,,,,,,,,,,,
,3579,-229.2491455078125,17,,,,,,,,,,,
0.001,3599,,,,,,,,,,,,,
,3599,-101.64280700683594,17,,,,,,,,,,,
0.001,3619,,,,,,,,,,,,,
,3619,-49.90763854980469,17,,,,,,,,,,,
0.001,3639,,,,,,,,,,,,,
,3639,-60.09321975708008,17,,,,,,,,,,,
,3639,,17,-0.09615244716405869,0.23872502148151398,,,,,,,,,
0.001,3659,,,,,,,,,,,,,
,3659,50.549903869628906,17,,,,,,,,,,,
0.001,3679,,,,,,,,,,,,,
,3679,-66.18905639648438,17,,,,,,,,,,,
0.001,3699,,,,,,,,,,,,,
,3699,-167.686767578125,17,,,,,,,,,,,
0.001,3719,,,,,,,,,,,,,
,3719,-66.73323059082031,17,,,,,,,,,,,
0.001,3739,,,,,,,,,,,,,
,3739,-132.7642822265625,17,,,,,,,,,,,
,3743,,17,-0.0949878916144371,0.2388041764497757,,,,,,,,,
0.001,3759,,,,,,,,,,,,,
,3759,54.63878631591797,18,,,,,,,,,,,
0.001,3779,,,,,,,,,,,,,
,3779,-180.05642700195312,18,,,,,,,,,,,
0.001,3799,,,,,,,,,,,,,
,3799,-6.029350280761719,18,,,,,,,,,,,
0.001,3819,,,,,,,,,,,,,
,3819,-96.89509582519531,18,,,,,,,,,,,
0.001,3839,,,,,,,,,,,,,
,3839,-50.92495346069336,18,,,,,,,,,,,
,3847,,18,-0.09568487852811813,0.23866799473762512,,,,,,,,,
0.001,3859,,,,,,,,,,,,,
,3859,108.31831359863281,18,,,,,,,,,,,
0.001,3879,,,,,,,,,,,,,
,3879,-53.83132553100586,18,,,,,,,,,,,
0.001,3899,,,,,,,,,,,,,
,3899,-116.03974914550781,18,,,,,,,,,,,
0.001,3919,,,,,,,,,,,,,
,3919,-163.123291015625,18,,,,,,,,,,,
0.001,3939,,,,,,,,,,,,,
,3939,-152.02557373046875,18,,,,,,,,,,,
,3951,,18,-0.09544527530670166,0.2387790083885193,,,,,,,,,
0.001,3959,,,,,,,,,,,,,
,3959,95.39229583740234,19,,,,,,,,,,,
0.001,3979,,,,,,,,,,,,,
,3979,-155.7749786376953,19,,,,,,,,,,,
0.001,3999,,,,,,,,,,,,,
,3999,-147.73207092285156,19,,,,,,,,,,,
0.001,4019,,,,,,,,,,,,,
,4019,-183.05535888671875,19,,,,,,,,,,,
0.001,4039,,,,,,,,,,,,,
,4039,-42.209529876708984,19,,,,,,,,,,,
,4055,,19,-0.09598856419324875,0.23865893483161926,,,,,,,,,
0.001,4059,,,,,,,,,,,,,
,4059,50.10640335083008,19,,,,,,,,,,,
0.001,4079,,,,,,,,,,,,,
,4079,-137.91253662109375,19,,,,,,,,,,,
0.001,4099,,,,,,,,,,,,,
,4099,-196.75462341308594,19,,,,,,,,,,,
0.001,4119,,,,,,,,,,,,,
,4119,-3.9455718994140625,19,,,,,,,,,,,
0.001,4139,,,,,,,,,,,,,
,4139,-39.23945617675781,19,,,,,,,,,,,
0.001,4159,,,,,,,,,,,,,
,4159,-60.59596252441406,19,,,,,,,,,,,
,4159,,19,-0.09520432353019714,0.23865510523319244,,,,,,,,,
0.001,4179,,,,,,,,,,,,,
,4179,-60.64593505859375,20,,,,,,,,,,,
0.001,4199,,,,,,,,,,,,,
,4199,-125.5085678100586,20,,,,,,,,,,,
0.001,4219,,,,,,,,,,,,,
,4219,31.346351623535156,20,,,,,,,,,,,
0.001,4239,,,,,,,,,,,,,
,4239,126.27069091796875,20,,,,,,,,,,,
0.001,4259,,,,,,,,,,,,,
,4259,-124.85804748535156,20,,,,,,,,,,,
,4263,,20,-0.09569605439901352,0.23859326541423798,,,,,,,,,
0.001,4279,,,,,,,,,,,,,
,4279,-73.08954620361328,20,,,,,,,,,,,
0.001,4299,,,,,,,,,,,,,
,4299,-251.9887237548828,20,,,,,,,,,,,
0.001,4319,,,,,,,,,,,,,
,4319,43.36164093017578,20,,,,,,,,,,,
0.001,4339,,,,,,,,,,,,,
,4339,-30.580257415771484,20,,,,,,,,,,,
0.001,4359,,,,,,,,,,,,,
,4359,-162.14598083496094,20,,,,,,,,,,,
,4367,,20,-0.09450224041938782,0.2387072890996933,,,,,,,,,
0.001,4379,,,,,,,,,,,,,
,4379,-102.5277099609375,21,,,,,,,,,,,
0.001,4399,,,,,,,,,,,,,
,4399,-200.4382781982422,21,,,,,,,,,,,
0.001,4419,,,,,,,,,,,,,
,4419,-3.5699357986450195,21,,,,,,,,,,,
0.001,4439,,,,,,,,,,,,,
,4439,-0.2186298370361328,21,,,,,,,,,,,
0.001,4459,,,,,,,,,,,,,
,4459,-180.5522003173828,21,,,,,,,,,,,
,4471,,21,-0.0961528941988945,0.23858502507209778,,,,,,,,,
,4472,,16,,,-0.09606147557497025,38.95880126953125,0.07199401780360065,0.1242469847202301,0.09606146167013009,189.9149169921875,0.9517647880897869,120.21739959716797,146.86843872070312
0.01,19,,,,,,,,,,,,,
,19,1037.106201171875,0,,,,,,,,,,,
0.01,39,,,,,,,,,,,,,
,39,421.274169921875,0,,,,,,,,,,,
0.01,59,,,,,,,,,,,,,
,59,230.47259521484375,0,,,,,,,,,,,
0.01,79,,,,,,,,,,,,,
,79,256.74322509765625,0,,,,,,,,,,,
0.01,99,,,,,,,,,,,,,
,99,665.707275390625,0,,,,,,,,,,,
,103,,0,-0.007132506463676691,0.2506614327430725,,,,,,,,,
0.01,119,,,,,,,,,,,,,
,119,231.23805236816406,0,,,,,,,,,,,
0.01,139,,,,,,,,,,,,,
,139,18.86212158203125,0,,,,,,,,,,,
0.01,159,,,,,,,,,,,,,
,159,191.5406036376953,0,,,,,,,,,,,
0.01,179,,,,,,,,,,,,,
,179,193.56466674804688,0,,,,,,,,,,,
0.01,199,,,,,,,,,,,,,
,199,-56.10971450805664,0,,,,,,,,,,,
,207,,0,-0.045106109231710434,0.24650724232196808,,,,,,,,,
0.01,219,,,,,,,,,,,,,
,219,102.67693328857422,1,,,,,,,,,,,
0.01,239,,,,,,,,,,,,,
,239,220.63568115234375,1,,,,,,,,,,,
0.01,259,,,,,,,,,,,,,
,259,-24.752506256103516,1,,,,,,,,,,,
0.01,279,,,,,,,,,,,,,
,279,43.97244644165039,1,,,,,,,,,,,
0.01,299,,,,,,,,,,,,,
,299,-26.97231674194336,1,,,,,,,,,,,
,311,,1,-0.05625591799616814,0.2421368509531021,,,,,,,,,
0.01,319,,,,,,,,,,,,,
,319,75.24506378173828,1,,,,,,,,,,,
0.01,339,,,,,,,,,,,,,
,339,70.57799530029297,1,,,,,,,,,,,
0.01,359,,,,,,,,,,,,,
,359,-88.87663269042969,1,,,,,,,,,,,
0.01,379,,,,,,,,,,,,,
,379,-177.4332733154297,1,,,,,,,,,,,
0.01,399,,,,,,,,,,,,,
,399,-42.728065490722656,1,,,,,,,,,,,
,415,,1,-0.06453575193881989,0.2421790063381195,,,,,,,,,
0.01,419,,,,,,,,,,,,,
,419,37.488182067871094,2,,,,,,,,,,,
0.01,439,,,,,,,,,,,,,
,439,-32.640220642089844,2,,,,,,,,,,,
0.01,459,,,,,,,,,,,,,
,459,-10.280731201171875,2,,,,,,,,,,,
0.01,479,,,,,,,,,,,,,
,479,14.307571411132812,2,,,,,,,,,,,
0.01,499,,,,,,,,,,,,,
,499,-43.84400177001953,2,,,,,,,,,,,
0.01,519,,,,,,,,,,,,,
,519,-46.65570831298828,2,,,,,,,,,,,
,519,,2,-0.0732223317027092,0.23960615694522858,,,,,,,,,
0.01,539,,,,,,,,,,,,,
,539,125.81858825683594,2,,,,,,,,,,,
0.01,559,,,,,,,,,,,,,
,559,-49.76055908203125,2,,,,,,,,,,,
0.01,579,,,,,,,,,,,,,
,579,-76.83470153808594,2,,,,,,,,,,,
0.01,599,,,,,,,,,,,,,
,599,-21.96710205078125,2,,,,,,,,,,,
0.01,619,,,,,,,,,,,,,
,619,-94.04972839355469,2,,,,,,,,,,,
,623,,2,-0.08845889568328857,0.23888272047042847,,,,,,,,,
0.01,639,,,,,,,,,,,,,
,639,-149.01296997070312,3,,,,,,,,,,,
0.01,659,,,,,,,,,,,,,
,659,-186.02499389648438,3,,,,,,,,,,,
0.01,679,,,,,,,,,,,,,
,679,-181.1328582763672,3,,,,,,,,,,,
0.01,699,,,,,,,,,,,,,
,699,-125.0379638671875,3,,,,,,,,,,,
0.01,719,,,,,,,,,,,,,
,719,-14.430046081542969,3,,,,,,,,,,,
,727,,3,-0.08295131474733353,0.23805291950702667,,,,,,,,,
0.01,739,,,,,,,,,,,,,
,739,265.7560729980469,3,,,,,,,,,,,
0.01,759,,,,,,,,,,,,,
,759,2.2753524780273438,3,,,,,,,,,,,
0.01,779,,,,,,,,,,,,,
,779,-46.852622985839844,3,,,,,,,,,,,
0.01,799,,,,,,,,,,,,,
,799,-26.108657836914062,3,,,,,,,,,,,
