lr-Adam,step,training_loss,pred_loss,update_loss,epoch,val_loss,val_loss_pred,val_loss_update,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
,1979,-57.579383850097656,-56.82794952392578,-751.432373046875,9,,,,,,,,,,,,,
0.001,1999,,,,,,,,,,,,,,,,,
,1999,-201.02113342285156,-200.14346313476562,-877.6761474609375,9,,,,,,,,,,,,,
0.001,2019,,,,,,,,,,,,,,,,,
,2019,-277.8761291503906,-276.9025573730469,-973.5614624023438,9,,,,,,,,,,,,,
0.001,2039,,,,,,,,,,,,,,,,,
,2039,-72.93173217773438,-72.42198181152344,-509.7465515136719,9,,,,,,,,,,,,,
0.001,2059,,,,,,,,,,,,,,,,,
,2059,-93.5879898071289,-92.87648010253906,-711.5108642578125,9,,,,,,,,,,,,,
0.001,2079,,,,,,,,,,,,,,,,,
,2079,-87.82772827148438,-87.22706604003906,-600.66552734375,9,,,,,,,,,,,,,
,2079,,,,9,-6209.986328125,-6186.53955078125,-23446.474609375,37.910400390625,,,,,,,,,
0.001,2099,,,,,,,,,,,,,,,,,
,2099,-118.05989074707031,-117.41813659667969,-641.7551879882812,10,,,,,,,,,,,,,
0.001,2119,,,,,,,,,,,,,,,,,
,2119,-237.21975708007812,-236.40882873535156,-810.9268798828125,10,,,,,,,,,,,,,
0.001,2139,,,,,,,,,,,,,,,,,
,2139,-95.49922180175781,-94.83097839355469,-668.243896484375,10,,,,,,,,,,,,,
0.001,2159,,,,,,,,,,,,,,,,,
,2159,28.729398727416992,29.410961151123047,-681.5616455078125,10,,,,,,,,,,,,,
0.001,2179,,,,,,,,,,,,,,,,,
,2179,-268.0457458496094,-267.3269348144531,-718.8214721679688,10,,,,,,,,,,,,,
,2183,,,,10,-6218.70556640625,-6195.3154296875,-23390.578125,37.94202423095703,,,,,,,,,
0.001,2199,,,,,,,,,,,,,,,,,
,2199,-173.77203369140625,-172.95425415039062,-817.7835693359375,10,,,,,,,,,,,,,
0.001,2219,,,,,,,,,,,,,,,,,
,2219,-343.13140869140625,-342.1515808105469,-979.8154296875,10,,,,,,,,,,,,,
0.001,2239,,,,,,,,,,,,,,,,,
,2239,-5.512305736541748,-4.981353759765625,-530.9520874023438,10,,,,,,,,,,,,,
0.001,2259,,,,,,,,,,,,,,,,,
,2259,-143.09432983398438,-142.27603149414062,-818.295166015625,10,,,,,,,,,,,,,
0.001,2279,,,,,,,,,,,,,,,,,
,2279,-243.313720703125,-242.57489013671875,-738.8238525390625,10,,,,,,,,,,,,,
,2287,,,,10,-6254.71044921875,-6231.08203125,-23628.478515625,37.856815338134766,,,,,,,,,
0.001,2299,,,,,,,,,,,,,,,,,
,2299,-141.85626220703125,-141.15997314453125,-696.28662109375,11,,,,,,,,,,,,,
0.001,2319,,,,,,,,,,,,,,,,,
,2319,-275.8887634277344,-274.9848327636719,-903.9381713867188,11,,,,,,,,,,,,,
0.001,2339,,,,,,,,,,,,,,,,,
,2339,-110.32984161376953,-109.66921997070312,-660.6234130859375,11,,,,,,,,,,,,,
0.001,2359,,,,,,,,,,,,,,,,,
,2359,-94.13304901123047,-93.4554214477539,-677.62646484375,11,,,,,,,,,,,,,
0.001,2379,,,,,,,,,,,,,,,,,
,2379,-246.38975524902344,-245.5570068359375,-832.7528076171875,11,,,,,,,,,,,,,
,2391,,,,11,-6216.1748046875,-6192.96875,-23205.8203125,38.04828643798828,,,,,,,,,
0.001,2399,,,,,,,,,,,,,,,,,
,2399,-135.71929931640625,-134.96047973632812,-758.81884765625,11,,,,,,,,,,,,,
0.001,2419,,,,,,,,,,,,,,,,,
,2419,-73.45867919921875,-72.75111389160156,-707.5650634765625,11,,,,,,,,,,,,,
0.001,2439,,,,,,,,,,,,,,,,,
,2439,-301.1377258300781,-300.3401794433594,-797.5352783203125,11,,,,,,,,,,,,,
0.001,2459,,,,,,,,,,,,,,,,,
,2459,-272.2698669433594,-271.2942810058594,-975.5965576171875,11,,,,,,,,,,,,,
0.001,2479,,,,,,,,,,,,,,,,,
,2479,-196.82275390625,-196.03082275390625,-791.9234619140625,11,,,,,,,,,,,,,
,2495,,,,11,-6276.71044921875,-6252.9609375,-23748.927734375,37.82716369628906,,,,,,,,,
0.001,2499,,,,,,,,,,,,,,,,,
,2499,-253.69821166992188,-252.92770385742188,-770.5120239257812,12,,,,,,,,,,,,,
